,Exchange,Coin,Pair,Volume
128,Hitbtc,Colu local network,CLN/BTC,1953
129,Okex,Commerceblock,CBT/BTC,22
130,Hitbtc,Consentium,CSM/BTC,3104
131,Kucoin,Constellation,DAG/BTC,22122
132,Okex,Content and ad network,CAN/BTC,975295
133,Hitbtc,Copytrack,CPY/BTC,1
134,Okex,Cortex,CTXC/BTC,310932
135,Hitbtc,Cosmo coin,COSM/BTC,58862
136,Hitbtc,Coss,COSS/BTC,0
137,Bittrex,Counterparty,XCP/BTC,11042
138,Kucoin,Covesting,COV/BTC,28535
139,Kucoin,Cpchain,CPC/BTC,9370
140,Bittrex,Creditbit,CRB/BTC,4363
141,Kucoin,Credits,CS/BTC,33244
142,Bittrex,Crowd machine,CMCT/BTC,50736
143,Bittrex,Crown,CRW/BTC,5961
144,Hitbtc,Cryptaur,CPT/BTC,15151
145,Hitbtc,Crypterium,CRPT/BTC,750414
146,Hitbtc,Crypto20,C20/BTC,1316
147,Hitbtc,Cryptonex,CNX/BTC,0
148,Hitbtc,Cryptoping,PING/BTC,0
149,Okex,Cube,AUTO/BTC,86224
150,Bittrex,Curecoin,CURE/BTC,1159
151,Hitbtc,Cvcoin,CVCOIN/BTC,326
152,Binance,Cybermiles,CMT/BTC,402358
153,Okex,Cybervein,CVT/BTC,653
154,Kucoin,Dacc,DACC/BTC,18349
155,Okex,Dadi,DADI/BTC,413731
156,Hitbtc,Daneel,DAN/BTC,4630
157,Hitbtc,Dash,DASH/BTC,4777956
158,Hitbtc,Dashcoin,DSH/BTC,19
159,Kucoin,Data,DTA/BTC,2115
160,Bittrex,Databits,DTB/BTC,289
161,Kucoin,Datum,DAT/BTC,44868
162,Kucoin,Datx,DATX/BTC,146
163,Hitbtc,Dcorp utility,DRPU/BTC,291
164,Kucoin,Debitum,DEB/BTC,41447
165,Bittrex,Decent,DCT/BTC,21034
166,Hitbtc,Decentbet,DBET/BTC,98851
167,Okex,Decentraland,MANA/BTC,605469
168,Kucoin,Decision token,HST/BTC,18788
169,Bittrex,Decred,DCR/BTC,244102
170,Kucoin,Deepbrain chain,DBC/BTC,19650
171,Kucoin,Deeponion,ONION/BTC,3106
172,Okex,Delphy,DPY/BTC,75826
173,Binance,Dent,DENT/BTC,1904622
174,Hitbtc,Dentacoin,DCN/BTC,39309
175,Bittrex,Diamond,DMD/BTC,5440
176,Bittrex,Digibyte,DGB/BTC,573769
177,Hitbtc,Digitalnote,XDN/BTC,670496
178,Binance,Digixdao,DGD/BTC,221670
