,Pair,Exchange
564,SWT/BTC,Bittrex
565,SWFTC/BTC,Okex
566,CHSB/BTC,Hitbtc
567,SYNX/BTC,Bittrex
568,AMP/BTC,Bittrex
569,SYS/BTC,Binance
570,TAAS/BTC,Hitbtc
571,TGT/BTC,Hitbtc
572,TTU/BTC,Hitbtc
573,TFD/BTC,Kucoin
574,TEL/BTC,Kucoin
575,PAY/BTC,Okex
576,XTZ/BTC,Hitbtc
577,ABYSS/BTC,Hitbtc
578,TKY/BTC,Kucoin
579,GET/BTC,Hitbtc
580,THETA/BTC,Binance
581,TNT/BTC,Binance
582,TNB/BTC,Binance
583,TKN/BTC,Hitbtc
584,TCT/BTC,Okex
585,TDS/BTC,Hitbtc
586,TKS/BTC,Bittrex
587,TKA/BTC,Hitbtc
588,TOMO/BTC,Kucoin
589,TOPC/BTC,Okex
590,TIO/BTC,Okex
591,BBC/BTC,Hitbtc
592,TX/BTC,Bittrex
593,TMT/BTC,Kucoin
594,TRIG/BTC,Binance
595,TNC/BTC,Kucoin
596,TRIO/BTC,Okex
597,TRX/BTC,Binance
598,TRUE/BTC,Okex
599,TFL/BTC,Kucoin
600,TUSD/BTC,Binance
601,TRUST/BTC,Bittrex
602,UUU/BTC,Hitbtc
603,UBQ/BTC,Bittrex
604,UCT/BTC,Okex
605,UGC/BTC,Okex
606,UNB/BTC,Bittrex
607,UKG/BTC,Bittrex
608,UBTC/BTC,Okex
609,UTT/BTC,Hitbtc
610,UP/BTC,Bittrex
611,UTK/BTC,Kucoin
612,VET/BTC,Binance
613,XVG/BTC,Binance
614,VRC/BTC,Bittrex
615,VERI/BTC,Hitbtc
616,VRM/BTC,Bittrex
617,VTC/BTC,Bittrex
618,VIA/BTC,Binance
619,VIBE/BTC,Binance
620,VIB/BTC,Binance
621,VIT/BTC,Hitbtc
622,VITE/BTC,Okex
623,VIU/BTC,Okex
624,VOISE/BTC,Hitbtc
625,IPL/BTC,Hitbtc
626,WABI/BTC,Binance
627,WTC/BTC,Binance
628,WAN/BTC,Binance
629,WAVES/BTC,Binance
630,WAX/BTC,Bittrex
631,WPR/BTC,Binance
632,TRST/BTC,Hitbtc
633,XWC/BTC,Bittrex
634,WILD/BTC,Hitbtc
635,WINGS/BTC,Binance
636,WRC/BTC,Okex
637,XAUR/BTC,Hitbtc
638,XRP/BTC,Binance
639,YEE/BTC,Okex
640,YOU/BTC,Okex
641,YOYO/BTC,Binance
642,YCC/BTC,Hitbtc
643,ZAP/BTC,Hitbtc
644,ZEC/BTC,Hitbtc
645,ZCL/BTC,Bittrex
646,XZC/BTC,Binance
647,ZCO/BTC,Okex
648,ZPT/BTC,Kucoin
649,ZEN/BTC,Binance
650,ZSC/BTC,Hitbtc
651,ZIL/BTC,Binance
652,ZINC/BTC,Kucoin
653,ZIP/BTC,Okex
654,ZRC/BTC,Hitbtc
